title,box_off_num
엄지아빠,55.158416892155216
탈주,9.199726139966812
해결사,1494918.029556736
블라인드,481396.35621938336
세상에서 가장 아름다운 이별,4432287.142246017
"사랑한다, 사랑하지 않는다",160913.24648395722
"봄, 눈",153213.54859349225
신세계,2943058.5878131394
몽타주,2289911.0812815526
스물,1578888.0506852795
헬머니,862878.2081505097
연평해전,2467402.6610837243
할,2193.6064844891184
"혜화, 동",8569.158484446665
반드시 크게 들을 것 2 : Wild Days,2929.583146282605
하나안,2029.2592739881402
"힘내세요, 병헌씨",2369.73177000273
미스터 컴퍼니,2678.776000902963
만찬,5168.029831772482
레디액션! 폭력영화,3426.5525747007
악사들,2843.0715773791326
그라운드의 이방인,3581.346617713736
울보 권투부,2296.002210506559
우리 만난 적 있나요,11.842847115896802
용서,71192.95171934899
카페 느와르,7776.4020414484075
우리 이웃의 범죄,10497.745682775256
"양 한 마리, 양 두 마리",1123.7311342426376
하얀 정글,3313.4544318373287
지슬 - 끝나지 않은 세월 2,5417.208254751794
다슬이,2136.808372757915
오하이오 삿포로,1102.7393623210792
욕망의 독: 중독,1034.291974960089
REC 알이씨,11.504801834902976
량강도 아이들,11.164178239597181
은어,9.514712719591985
고래를 찾는 자전거,11.385108005964277
겨울냄새,265.7535491811108
굿바이 보이,9.49292481519124
돌아오는 길,469.91974579524407
엄마는 창녀다,9.739746040395525
잔혹한 앵글의 로망스,75.6400787965969
롤플레이,600.7009019079239
허풍,516.3315584545973
젊은 엄마,602.6593436750874
고양이 소녀,495.9701306579103
롤플레이 2 : 동침,133.45774327573085
미녀전쟁,612.2068744436795
녀녀녀,1048.9639871339089
픽업 아티스트,459.0550508996383
신화 라이브 3D 더 레전드 컨티뉴스,4182.716360674663
살인캠프,648.6030209670706
덫: 치명적인 유혹,530.2769679399911
마티나,674.2645633107189
홀리,576.8726867115217
남영동1985,57316.267254461556
돈 크라이 마미,50139.19803781098
범죄소년,10384.253399137402
터치,3098.3137768584425
한 번도 안 해본 여자,1950.8987986140244
설계,2033.158945532393
울언니,3319.704827935335
천국의 아이들,10.107440587277342
고백,9.425378777544799
할머니는 일학년,6670.822380124886
노브레싱,38173.14111714863
산타바바라,12225.394478793283
두레소리,9.877949789073192
말하는 건축가,3471.0804816417894
누구의 딸도 아닌 해원,36642.97907661274
누구나 제 명에 죽고 싶다,6545.884571773293
우아한 거짓말,51320.36738973348
도희야,35671.36540474089
꼭두각시,42297.732951147475
스퀴시랜드,65863.28836556184
레디액션 청춘,506042.4224497211
션샤인 러브,32742.861865494113
콩가네,8.779045105414346
말하는 건축 시티:홀,3684.1749479154214
댄서김의 은밀한 교수법,9.76838798083097
화려한 외출,10.238071586401738
배꼽,10.49719598418223
나가요 미스콜,2038.5526018085643
위층여자,1198.9873694526511
우리별 일호와 얼룩소,1675.8052322878777
고양이 장례식,3285.440699549487
"나의 아들, 나의 어머니",1374.203702304032
살인자,10.448823331498426
황제를 위하여,11.953776510462713
바리새인,9.888177214476473
레쓰링,1198.194944957243
더 테너 리리코 스핀토,8034.263720386129
옹녀뎐,10.183143730215145
내 연애의 기억,29471.145133771035
해에게서 소년에게,8946.452274701147
나는 야한 여자가 좋다,714.7313632796601
정사: 위험한 성적유희,727.0788697525741
환상,848.2656027028927
나는 야한 여자가 좋다 3,714.7313632796601
조선안방 스캔들-칠거지악 2,635.7223765481522
숙희,709.0423450921926
가자! 장미여관으로 3 - 방황,1207.6764393792014
살인의뢰,202755.246685505
조류인간,10.339660300520025
최강전사 미니특공대 : 새로운 악당의 습격,36835.97191995776
슈퍼레이서 엔지,49964.607351770406
생각보다 맑은,11.260452253752078
설해,47697.54920357529
나의 절친 악당들,1172303.109691118
성난 화가,1000.1580116227294
연애의 맛,12.657992454403514
플랑크 상수,234.46971911383324
어떤이의 꿈,264.92204395453325
파울볼,69962.23687244716
춘희막이,30443.62297198776
미쓰 와이프,624622.3294769054
사랑이 이긴다,53080.81630596948
쓰리 썸머 나잇,365792.85571239825
마돈나,190654.89855921522
제 7기사단,10.120471623092854
위로공단,9685.14910025519
악인은 살아 있다,6409.284824276624
슬픈남자,9.986897729584113
타이밍,5966.877943766491
타투,9.88791847351662
어떤살인,10.298384639038305
