,time,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num,rank,genre_rank,screening_rat_15세 관람가,screening_rat_전체 관람가,screening_rat_청소년 관람불가
532,116,0.0,0,158,3,507913,144,5,1,0,0
589,127,0.0,0,456,5,790370,144,8,1,0,0
596,127,496061.0,1,286,6,1716438,144,8,1,0,0
3,101,23894.0,2,20,6,217866,139,9,0,1,0
25,116,0.0,0,183,3,3094,139,8,0,0,1
28,93,0.0,0,250,3,160734,139,12,0,0,1
39,121,8052.5,2,315,2,1726227,139,5,1,0,0
48,112,1159954.0,2,600,4,1177435,139,11,1,0,0
67,106,1502930.25,4,341,2,654407,139,8,1,0,0
86,120,1178641.33333333,3,264,2,2475797,139,8,1,0,0
90,132,1322801.0,4,379,4,1441990,139,8,0,0,1
97,100,0.0,0,136,4,22525,139,4,0,0,1
104,121,89858.0,1,95,2,714136,139,8,0,0,1
122,127,0.0,0,311,5,11374879,139,8,1,0,0
131,104,0.0,0,119,2,603283,139,8,0,0,1
164,121,39317.0,1,16,2,80734,139,8,0,0,1
183,84,574101.0,2,307,5,857038,139,7,1,0,0
190,100,0.0,0,207,4,3460212,139,8,1,0,0
214,114,8801639.0,2,500,3,2130645,139,10,1,0,0
244,118,1552541.0,2,304,4,1649407,139,8,1,0,0
287,120,2723028.0,1,433,2,1980050,139,8,1,0,0
328,98,0.0,0,196,2,112029,139,8,0,0,1
353,139,99430.0,1,310,1,218898,139,8,1,0,0
358,119,1086916.0,2,109,2,471547,139,11,0,0,1
361,114,2500135.0,4,437,3,1596762,139,11,1,0,0
384,106,0.0,0,41,3,33902,139,8,1,0,0
389,108,0.0,0,13,2,1161,139,8,0,0,1
397,111,1876998.66666667,3,369,6,3019960,139,9,0,0,0
417,124,0.0,0,412,2,956103,139,8,0,0,0
452,106,200836.0,1,61,3,672340,139,7,1,0,0
468,115,0.0,0,120,5,611685,139,9,1,0,0
472,119,80741.0,2,331,3,5508299,139,12,1,0,0
486,127,4210890.33333333,3,572,22,2057896,139,5,0,0,0
487,139,2270048.5,2,612,1,1762733,139,8,0,0,0
507,121,0.0,0,340,3,4598985,139,5,1,0,0
530,127,819049.5,2,300,8,12811435,139,9,1,0,0
551,95,2723789.25,4,12,5,8897,139,2,0,0,0
561,107,0.0,0,249,3,5604106,139,7,1,0,0
571,90,0.0,0,93,3,35348,139,8,0,0,1
576,119,1030261.0,3,380,6,953682,139,9,1,0,0
582,62,0.0,0,2,8,446054,139,4,0,1,0
595,111,3833.0,1,510,7,1475091,139,8,0,0,1
6,104,0.0,0,32,5,53526,108,2,0,1,0
94,97,922680.0,1,29,2,1040,108,8,0,0,0
8,129,0.0,0,3,5,4778,83,1,0,1,0
9,94,0.0,0,138,3,868,38,8,1,0,0
10,89,0.0,0,0,4,745,29,5,0,0,1
27,89,0.0,0,0,4,745,29,5,0,0,1
57,69,0.0,0,1,4,514,29,5,0,0,1
64,74,0.0,0,5,3,1697,29,8,0,0,1
80,116,0.0,0,19,25,2821,29,8,1,0,0
263,72,988.0,1,20,4,397,29,5,0,0,1
402,84,0.0,0,42,3,1564,29,5,0,0,1
410,71,0.0,0,0,3,10,29,5,0,0,1
440,76,0.0,0,10,4,368,29,5,0,0,1
444,83,0.0,0,24,4,1547,29,5,0,0,1
459,74,0.0,0,7,4,2729,29,5,0,0,1
500,89,0.0,0,0,1,400,29,5,0,0,1
529,88,752.5,2,22,2,426,29,5,0,0,1
554,72,0.0,0,0,1,419,29,5,0,0,1
11,98,0.0,0,0,1,1079,44,7,0,0,0
12,113,431231.0,1,14,2,5851,66,8,0,0,0
113,94,817317.666666667,3,96,5,1501,66,5,1,0,0
127,105,0.0,0,50,5,677,66,8,0,0,1
160,88,45442.0,1,136,5,7908,66,8,0,0,0
173,75,0.0,0,0,2,9438,66,2,0,1,0
236,72,0.0,0,3,7,179,66,2,0,1,0
276,65,0.0,0,17,2,256,66,8,1,0,0
351,82,2497.0,1,17,5,2969,66,2,0,1,0
424,93,506419.0,2,54,2,480,66,11,0,0,1
565,75,0.0,0,80,3,6034,66,9,0,1,0
13,107,534232.5,2,15,4,23052,107,3,0,0,1
14,100,0.0,0,152,1,92404,137,8,0,0,0
16,124,8223342.0,1,572,11,7453715,137,9,1,0,0
17,98,773.0,1,8,4,5693,137,8,0,1,0
20,117,495068.5,2,466,3,1624573,137,8,0,0,0
21,90,0.0,0,228,1,44074,137,8,0,0,1
32,85,0.0,0,10,8,285084,137,4,0,1,0
34,114,683213.333333333,3,324,2,3009406,137,5,0,0,0
40,95,0.0,0,95,2,9089,137,5,1,0,0
44,119,0.0,0,471,4,2723028,137,12,0,0,1
46,117,0.0,0,106,2,27083,137,8,0,0,0
47,107,0.0,0,368,4,321641,137,5,0,0,1
65,109,385977.5,2,519,3,317505,137,8,0,0,0
74,119,0.0,0,509,2,6178665,137,11,0,0,1
84,123,0.0,0,174,7,731212,137,7,0,0,1
91,124,1163526.33333333,3,546,4,1546132,137,11,1,0,0
110,110,1322196.0,1,391,5,1346754,137,9,1,0,0
116,118,1702621.66666667,3,397,4,1892125,137,5,1,0,0
133,121,0.0,0,92,4,74,137,8,0,0,1
134,103,331574.5,2,6,3,18343,137,8,0,0,0
138,108,4074.0,2,244,3,24020,137,8,0,0,0
148,102,17341.0,1,208,10,251551,137,7,1,0,0
166,112,3640579.0,2,59,5,2242510,137,10,1,0,0
180,105,0.0,0,326,2,688639,137,9,1,0,0
200,93,0.0,0,282,3,100543,137,8,0,0,0
218,112,1259177.75,4,310,5,1141222,137,8,1,0,0
219,131,846582.0,2,343,2,1854711,137,8,1,0,0
231,85,495068.5,2,173,14,5317,137,8,0,0,0
255,87,227304.0,1,125,4,21002,137,2,0,1,0
267,86,5105.0,1,3,2,4802169,137,2,0,1,0
288,121,2849087.5,4,126,3,5181014,137,8,0,0,0
299,99,0.0,0,199,2,13190,137,6,1,0,0
310,113,2367942.0,1,642,4,470308,137,8,0,0,1
312,83,0.0,0,198,6,81,137,4,1,0,0
322,124,3549473.0,4,520,2,7759711,137,8,0,0,0
326,108,6720926.5,2,369,2,5443049,137,6,1,0,0
344,97,57943.0,1,78,4,13886,137,8,1,0,0
360,122,1468215.75,4,566,8,1715370,137,5,1,0,0
372,126,0.0,0,869,4,14262766,137,8,0,0,0
378,99,1667359.33333333,3,277,3,870785,137,7,1,0,0
403,91,57.0,1,162,2,988,137,10,0,0,1
404,80,0.0,0,51,3,201,137,8,1,0,0
412,127,2376429.33333333,3,419,2,1872682,137,8,0,0,0
416,71,0.0,0,17,3,218,137,4,0,0,1
420,108,0.0,0,399,4,313953,137,8,1,0,0
422,153,844821.0,3,335,6,1744585,137,11,0,0,1
435,107,522925.0,3,367,4,828029,137,10,1,0,0
445,124,768549.333333333,3,481,3,2985556,137,8,0,0,1
446,112,0.0,0,547,2,1122225,137,5,0,0,0
455,120,1689216.5,2,438,2,2625686,137,9,1,0,0
460,131,1552541.0,2,402,3,12323595,137,8,1,0,0
467,109,578474.5,2,128,4,4515833,137,8,1,0,0
473,117,881793.0,3,431,3,1131154,137,12,1,0,0
476,124,2781990.5,2,437,5,8659725,137,9,1,0,0
494,117,43734.0,2,308,3,2436884,137,6,1,0,0
496,125,0.0,0,67,10,9350351,137,10,1,0,0
499,105,1421201.0,2,354,3,129576,137,5,0,0,1
512,111,14188.0,1,450,3,471248,137,5,0,0,1
517,108,1918611.5,2,143,2,1209363,137,8,1,0,0
518,99,1198419.5,2,150,2,96080,137,9,1,0,0
520,104,1670652.0,1,243,2,1201033,137,7,1,0,0
522,106,0.0,0,98,5,790959,137,7,1,0,0
527,109,1081752.0,1,317,3,1046313,137,7,1,0,0
528,109,0.0,0,255,13,13108,137,7,1,0,0
531,113,1468191.0,1,258,2,101698,137,9,1,0,0
548,107,107375.5,2,157,3,104736,137,9,1,0,0
557,95,0.0,0,139,4,38771,137,2,0,0,0
564,133,1887850.0,1,404,3,23229,137,8,0,0,1
568,95,1389992.0,4,281,2,1766285,137,7,1,0,0
570,105,163019.5,2,154,3,3060,137,8,1,0,0
580,82,0.0,0,0,6,72052,137,4,0,1,0
588,114,2061296.66666667,3,288,2,1612554,137,12,1,0,0
590,114,0.0,0,92,2,1250,137,6,0,0,1
592,110,597497.0,3,420,3,1472147,137,12,0,0,1
598,102,0.0,0,431,4,2192525,137,12,1,0,0
599,120,0.0,0,363,5,7166532,137,11,1,0,0
15,67,0.0,0,52,3,39317,115,8,0,0,1
331,89,0.0,0,70,2,31101,115,8,0,0,1
506,89,0.0,0,8,6,69122,115,8,0,0,1
18,104,0.0,0,359,4,814570,128,8,0,0,0
60,109,495535.0,1,292,8,306642,128,8,0,1,0
130,80,0.0,0,5,10,56105,128,4,0,1,0
292,102,1112957.66666667,3,273,2,387408,128,8,1,0,0
321,88,0.0,0,5,6,13113,128,4,0,1,0
408,111,2888383.5,4,264,2,441208,128,7,1,0,0
438,166,0.0,0,180,4,4398,128,8,0,0,1
19,115,0.0,0,74,9,57029,40,8,0,0,1
111,148,0.0,0,61,6,485,40,8,0,1,0
176,91,38.5,2,83,3,933,40,8,1,0,0
323,97,0.0,0,66,2,900,40,8,1,0,0
376,78,8052.5,2,69,3,409,40,5,0,0,0
523,80,0.0,0,57,3,37122,40,8,0,0,1
544,78,340.0,1,9,3,614,40,5,1,0,0
556,113,0.0,0,153,5,3536,40,8,0,0,1
22,91,0.0,0,0,1,914,94,7,1,0,0
281,87,0.0,0,100,2,17444,94,5,0,0,1
24,106,0.0,0,153,3,1176,49,8,0,0,1
172,114,0.0,0,53,5,1295,49,8,0,0,1
224,98,4611.0,1,11,4,5105,49,8,1,0,0
242,101,0.0,0,37,4,4746,49,2,0,1,0
333,87,0.0,0,23,1,9301,49,2,0,0,0
391,96,0.0,0,3,0,1827,49,2,0,1,0
449,114,0.0,0,61,2,865,49,8,1,0,0
581,74,7763.0,1,29,4,532,49,9,0,0,1
585,70,0.0,0,4,1,938,49,2,0,1,0
26,89,0.0,0,40,10,2807,69,7,1,0,0
33,88,0.0,0,9,2,390,69,5,1,0,0
83,91,0.0,0,74,4,2775,69,8,0,0,0
102,93,0.0,0,21,2,2344,69,2,1,0,0
136,90,0.0,0,47,4,4343,69,2,0,0,0
185,78,0.0,0,2,6,13429,69,4,0,0,0
187,65,0.0,0,30,2,2270,69,8,0,0,1
202,102,7.0,1,112,5,4941,69,8,1,0,0
210,103,401997.0,2,111,2,1536,69,7,0,0,1
211,97,0.0,0,7,3,36841,69,8,0,1,0
232,75,430920.5,2,6,2,1089,69,10,0,0,1
240,90,0.0,0,34,4,842,69,8,1,0,0
243,102,0.0,0,41,7,2788,69,2,0,0,1
246,96,0.0,0,4,14,2178,69,2,0,1,0
248,89,0.0,0,5,2,1002,69,11,0,0,1
286,91,736729.5,2,9,4,3223,69,8,1,0,0
296,103,0.0,0,21,2,1759,69,8,0,0,1
304,106,0.0,0,37,5,21483,69,2,0,0,0
315,95,430920.5,2,31,4,957,69,10,0,0,1
366,121,0.0,0,212,5,2493,69,8,1,0,0
443,91,0.0,0,70,4,1240,69,8,0,0,1
450,119,0.0,0,18,2,3694,69,8,0,0,1
509,76,0.0,0,42,3,12486,69,2,0,1,0
525,95,0.0,0,16,11,2732,69,2,1,0,0
550,93,0.0,0,22,3,2429,69,8,1,0,0
573,85,0.0,0,32,4,3404,69,8,1,0,0
29,90,0.0,0,29,3,3460,65,8,0,0,1
191,74,0.0,0,0,4,7408,65,4,0,1,0
225,100,0.0,0,38,6,294,65,8,0,0,1
256,80,0.0,0,15,2,712,65,2,0,1,0
359,91,11577.5,2,2,3,8923,65,5,0,0,1
579,99,0.0,0,42,3,600,65,8,0,0,1
30,117,0.0,0,369,7,73729,132,8,0,0,0
209,163,0.0,0,353,8,3350311,132,8,0,0,1
273,121,0.0,0,273,13,573001,132,9,1,0,0
298,126,481722.75,4,287,3,383582,132,8,1,0,0
303,115,627301.666666667,3,95,4,270602,132,6,1,0,0
395,111,3907784.5,4,402,4,729834,132,9,1,0,0
31,90,0.0,0,71,2,521,20,8,1,0,0
153,114,0.0,0,136,7,408,20,5,1,0,0
35,94,0.0,0,2,2,4586,77,2,0,0,0
38,84,0.0,0,96,5,2703,77,8,0,0,0
92,106,0.0,0,155,4,51120,77,9,1,0,0
203,93,891.0,1,43,8,6389,77,2,1,0,0
221,90,0.0,0,7,5,1356,77,9,0,0,0
227,75,0.0,0,3,2,893,77,2,0,1,0
271,85,0.0,0,1,1,15530,77,2,0,1,0
317,127,0.0,0,77,3,11260,77,8,1,0,0
332,100,0.0,0,33,1,1440,77,2,0,1,0
541,90,0.0,0,0,5,732,77,8,0,1,0
36,67,0.0,0,1,5,2923,71,8,0,0,1
37,122,0.0,0,135,2,10142,79,8,0,0,1
229,100,0.0,0,124,2,419,79,8,0,0,1
441,99,0.0,0,61,3,3916,79,8,1,0,0
42,96,0.0,0,10,4,742,33,8,0,0,1
43,90,0.0,0,100,4,3772,64,5,0,0,1
162,97,122238.333333333,3,51,3,380,64,8,0,0,0
293,119,0.0,0,105,2,385,64,8,0,0,1
368,75,0.0,0,4,4,166,64,9,0,0,1
493,87,2515.5,2,119,4,7721,64,7,0,0,1
537,86,0.0,0,365,4,81008,64,7,1,0,0
45,102,984.0,1,23,3,1209,46,8,0,0,1
54,72,427.0,2,107,2,112,46,8,0,0,1
70,97,742.0,1,59,4,488,46,5,0,0,1
71,118,20196.0,2,130,2,20303,46,5,0,0,0
73,104,6053.0,1,17,4,1637,46,6,1,0,0
99,112,0.0,0,138,1,424778,46,8,1,0,0
121,81,467697.0,1,34,5,831,46,8,0,0,1
126,91,0.0,0,1,2,444327,46,2,0,1,0
147,101,0.0,0,111,5,335,46,8,1,0,0
149,109,0.0,0,118,4,2386,46,8,1,0,0
151,85,59648.5,2,1,2,1298,46,2,0,1,0
154,82,0.0,0,17,5,1581,46,2,0,1,0
155,94,0.0,0,17,2,1575,46,9,1,0,0
222,98,0.0,0,17,3,1198,46,8,0,0,0
272,104,57943.0,1,63,8,9566,46,8,0,0,1
295,85,0.0,0,50,2,557,46,5,0,0,0
307,75,481459.25,4,0,1,240,46,2,0,1,0
308,83,0.0,0,25,2,1561,46,2,0,0,0
339,73,0.0,0,0,2,17912,46,2,0,1,0
370,97,0.0,0,42,2,366,46,5,0,0,1
375,76,0.0,0,3,2,1068,46,2,0,1,0
392,81,984.0,1,85,1,1693,46,8,0,0,1
401,95,593867.0,1,30,2,6085,46,6,0,0,1
405,84,533.5,2,3,3,691,46,2,1,0,0
411,97,984.0,1,49,2,971,46,8,0,0,1
415,85,0.0,0,11,3,158,46,2,1,0,0
462,79,0.0,0,14,1,112,46,2,0,1,0
471,93,0.0,0,9,1,703,46,2,0,1,0
501,91,0.0,0,37,3,660,46,5,0,0,1
521,98,0.0,0,65,6,577,46,8,0,0,0
572,97,0.0,0,51,3,685,46,8,1,0,0
594,94,0.0,0,37,5,1958,46,9,0,0,1
597,99,0.0,0,123,4,2475,46,7,0,0,1
49,80,0.0,0,44,3,21939,123,4,0,1,0
51,112,583770.0,3,315,3,151550,123,9,0,0,1
123,112,1595962.33333333,3,295,5,172652,123,8,0,0,0
547,114,15495.6666666667,3,277,3,1755181,123,8,0,0,0
50,87,695201.5,2,140,3,72,25,9,0,1,0
68,72,427.0,2,80,2,148,25,8,0,0,1
75,93,0.0,0,0,1,8083,25,1,0,1,0
168,66,0.0,0,13,0,65,25,2,0,1,0
188,83,0.0,0,151,2,257,25,11,0,0,1
241,85,11871.0,1,1,3,11263,25,2,0,1,0
260,89,0.0,0,1,5,599,25,5,0,0,1
265,95,187048.0,2,19,2,916,25,8,0,0,1
277,89,0.0,0,12,3,813,25,6,0,0,1
285,92,695201.5,2,103,3,1414,25,6,0,0,1
374,100,517314.66666666704,3,101,2,279,25,8,0,0,1
394,98,16844.0,1,0,1,39577,25,2,0,1,0
423,99,38770.0,2,74,3,1617,25,7,0,0,1
432,89,0.0,0,0,1,1,25,5,0,0,1
479,89,0.0,0,81,2,494,25,8,0,0,1
52,84,0.0,0,20,10,15687,102,2,0,1,0
464,83,33039.5,2,19,6,16248,102,2,0,1,0
53,107,0.0,0,9,11,35857,112,2,0,1,0
56,103,0.0,0,125,8,2410,39,9,1,0,0
215,84,0.0,0,44,3,808,39,5,0,0,1
316,85,0.0,0,43,5,512,39,9,0,0,1
524,95,228385.0,1,115,2,1008,39,12,0,0,1
58,114,0.0,0,290,5,1012310,127,7,0,0,1
135,110,703507.0,1,238,7,972431,127,9,0,0,0
142,114,1648547.0,3,485,3,74261,127,8,0,0,0
261,111,1799447.0,1,333,2,164252,127,5,0,0,1
270,114,0.0,0,292,4,75740,127,5,0,0,1
350,124,0.0,0,496,4,467697,127,8,0,0,0
400,115,1276480.0,2,324,4,1166025,127,8,0,0,1
431,124,3907784.5,4,335,4,210970,127,8,0,1,0
560,84,0.0,0,118,6,225955,127,7,1,0,0
584,109,475388.0,3,420,7,196995,127,9,0,0,1
61,97,874146.666666667,3,67,4,484,22,5,1,0,0
62,127,0.0,0,24,3,432,19,8,0,0,0
69,100,115412.666666667,3,132,2,4746,91,5,0,0,1
77,96,1715370.0,1,108,2,11650,91,7,0,0,1
72,112,0.0,0,110,5,8757,93,5,0,0,1
79,124,809.0,1,12,2,236,54,8,1,0,0
115,79,0.0,0,55,5,46212,54,8,0,0,1
158,100,0.0,0,4,4,3089,54,1,0,0,0
386,99,0.0,0,14,2,110,54,8,0,0,0
481,98,0.0,0,1,2,36,54,8,1,0,0
488,80,0.0,0,34,3,424,54,5,0,0,1
510,65,0.0,0,17,4,2155,54,8,0,0,0
546,95,0.0,0,23,2,1679,54,8,0,0,0
555,96,0.0,0,61,2,1081,54,8,0,1,0
587,79,67602.0,1,220,4,12696,54,10,0,1,0
82,115,0.0,0,204,2,849635,138,8,1,0,0
85,82,0.0,0,15,2,2296,72,2,1,0,0
107,118,0.0,0,6,0,652,72,2,1,0,0
108,98,10393.5,2,4,10,2119,72,2,1,0,0
167,75,0.0,0,11,0,10942,72,2,0,1,0
204,77,0.0,0,35,1,50308,72,2,1,0,0
212,95,0.0,0,7,3,2418,72,2,0,1,0
216,89,0.0,0,6,2,1240,72,2,0,0,0
274,92,0.0,0,7,3,5808,72,2,0,0,0
342,92,891.0,1,24,4,5014,72,2,0,1,0
363,87,0.0,0,6,8,888,72,2,0,0,0
407,77,0.0,0,35,1,50308,72,2,1,0,0
425,136,0.0,0,7,0,389,72,2,0,1,0
437,120,0.0,0,2,0,21576,72,2,0,0,0
447,94,0.0,0,24,3,4766,72,2,0,0,0
497,93,0.0,0,0,2,4340,72,2,1,0,0
534,102,0.0,0,5,4,3044,72,2,1,0,0
545,45,3389.0,1,2,2,2919,72,8,0,0,1
577,108,0.0,0,8,1,2972,72,2,0,0,0
87,100,0.0,0,0,6,2070,50,5,0,0,1
514,89,0.0,0,11,2,561,50,8,0,0,1
88,83,332.0,1,0,3,4122,81,6,0,0,1
89,98,7763.0,1,72,2,5212,85,8,0,0,1
93,90,0.0,0,12,3,310,16,7,0,0,1
95,69,0.0,0,17,2,651,78,8,1,0,0
145,96,0.0,0,82,5,19896,78,4,0,0,1
247,77,399.0,2,17,1,2951,78,2,0,1,0
257,140,0.0,0,29,2,5992,78,8,1,0,0
280,80,0.0,0,16,4,5648,78,2,0,1,0
302,98,0.0,0,106,10,2124,78,8,0,0,1
371,91,0.0,0,148,8,1143,78,8,0,0,1
419,98,0.0,0,91,3,4486,78,8,1,0,0
96,98,0.0,0,65,3,17341,96,11,1,0,0
259,112,1174495.0,1,183,3,225839,96,8,0,0,1
282,102,0.0,0,143,2,3333,96,8,0,0,1
369,105,0.0,0,1,4,29478,96,2,0,0,0
413,99,234261.0,1,54,3,542,96,5,1,0,0
519,88,2496.0,1,128,3,458,96,12,1,0,0
100,135,2636385.0,1,365,3,2963652,122,11,1,0,0
141,84,0.0,0,6,3,3996,122,12,0,0,1
179,103,44448.5,2,151,3,192347,122,11,0,0,1
217,96,462623.0,1,156,4,257996,122,7,0,0,1
258,95,5741.0,2,97,4,169064,122,8,0,0,1
269,117,0.0,0,207,2,142170,122,3,0,0,1
365,145,0.0,0,85,4,63517,122,8,1,0,0
383,95,1062385.66666667,3,129,2,2673,122,5,0,0,1
103,105,2043525.6,5,360,6,120806,120,7,1,0,0
390,115,0.0,0,49,4,3591,120,8,1,0,0
478,111,748380.0,1,287,2,2141155,120,5,1,0,0
106,102,2800018.5,2,216,3,14780,101,8,0,0,1
109,94,0.0,0,41,2,353,109,8,0,0,0
143,89,146455.666666667,3,106,1,12950,109,8,0,0,0
329,104,0.0,0,193,3,44216,109,8,1,0,0
502,99,0.0,0,206,4,47105,109,8,0,0,0
117,82,0.0,0,1,4,42337,116,2,0,1,0
118,103,7855474.0,1,31,5,2541603,145,9,0,0,0
119,90,0.0,0,268,2,481707,129,7,1,0,0
380,94,138190.0,1,309,3,142609,129,8,0,0,1
120,98,0.0,0,13,2,2186,51,8,0,0,0
175,75,1681556.0,2,26,4,809,51,12,0,0,1
198,104,35348.0,1,126,3,1124,51,12,0,0,1
223,84,0.0,0,109,4,3789,51,8,1,0,0
266,75,0.0,0,20,3,241,51,2,0,1,0
290,92,0.0,0,0,1,39916,51,2,0,1,0
291,87,0.0,0,178,4,5322,51,8,0,0,1
309,106,2972299.0,1,10,3,1523,51,7,0,0,1
319,60,0.0,0,2,5,328,51,2,0,1,0
470,72,1174495.0,1,86,4,574,51,8,0,1,0
125,90,0.0,0,0,6,1253,34,2,0,1,0
207,90,0.0,0,18,7,791,34,2,0,0,0
567,72,0.0,0,0,2,541,34,2,1,0,0
129,92,0.0,0,88,4,96992,119,7,0,0,1
144,101,10692.6666666667,3,29,5,13240,100,5,0,0,1
150,120,0.0,0,60,4,90370,82,9,0,0,1
213,91,358299.0,1,92,3,4449,82,10,0,0,0
347,85,0.0,0,2,5,4586,82,4,0,1,0
152,84,176079.5,2,56,4,228,14,8,0,0,1
156,106,1764377.33333333,3,261,2,1169546,143,8,0,0,0
220,127,473852.33333333296,3,307,5,1422844,143,11,1,0,0
536,120,0.0,0,14,6,2318748,143,9,1,0,0
159,82,846903.0,1,1,2,961,42,5,0,0,1
163,99,0.0,0,2,6,163,11,2,0,1,0
165,84,0.0,0,34,3,429,18,10,0,0,0
170,104,1047.0,1,239,2,51760,117,5,0,0,1
171,107,322708.5,2,6,2,948,41,6,1,0,0
177,94,0.0,0,55,2,42,3,7,0,0,1
181,118,661220.5,2,224,9,1214839,135,5,1,0,0
337,109,1124.0,1,204,3,18061,135,8,1,0,0
388,111,0.0,0,284,4,1646142,135,12,0,0,1
591,101,0.0,0,59,4,14188,135,9,0,0,1
182,111,2270048.5,2,306,3,43947,125,11,1,0,0
184,109,0.0,0,358,2,167024,125,8,0,0,0
230,115,2077590.0,1,428,2,596864,125,9,1,0,0
189,107,771699.0,1,129,3,16866,131,8,1,0,0
208,106,285381.0,1,302,4,2267579,131,7,0,0,1
301,86,0.0,0,16,4,479280,131,4,0,1,0
357,108,0.0,0,240,2,472009,131,8,0,1,0
475,109,462623.0,1,261,2,143458,131,8,0,1,0
192,117,0.0,0,270,2,316955,124,5,1,0,0
469,121,0.0,0,54,1,13538,124,2,0,1,0
