title,box_off_num
환상속의 그대,3929.4204935099883
  이것이 우리의 끝이다,3205.173840593117
족구왕,8136.254038376675
대한민국 1%,526759.7058062421
포화 속으로,1578248.7321545067
쩨쩨한 로맨스,363581.46525067906
오늘,142422.0138898135
회초리,395929.7833171115
체포왕,1009496.6701158286
나는 아빠다,415247.2238595956
위험한 상견례,1013734.7494790787
가문의 귀환,254768.11122410232
음치 클리닉,798125.7129106281
미운오리새끼,132159.19206413932
후궁 : 제왕의 첩,673641.9818381291
"안녕, 하세요!",57632.16029609206
은교,82262.82953993574
파파,520765.85641671706
남쪽으로 튀어,836340.2182185998
마이 라띠마,265284.1798234958
더 테러 라이브,239310.73142631343
소원,217824.58164652626
캐치미,619437.8916545527
하이힐,1331744.7793019817
10분,81010.33564559545
기술자들,1349148.6845177307
간신,1474767.9671108522
나쁜 놈이 더 잘 잔다,1825.7776440214964
오래된 인력거,3127.1109014160484
링크,2862.413338544151
수상한 이웃들,3471.1132092816556
불륜의 시대,2055.400334451343
인플루언스,183.53492606252536
김복남 살인사건의 전말,7318.795196678427
엄지아빠,960.1427058991131
탈주,249.27288321543435
해결사,833586.3886070304
블라인드,175422.66575023
세상에서 가장 아름다운 이별,1427960.755109066
"사랑한다, 사랑하지 않는다",151640.237342182
"봄, 눈",91256.59341012176
신세계,2339842.2968999725
몽타주,940811.341425087
스물,1029642.6803023742
헬머니,544070.5407578528
연평해전,1194953.2479609158
할,2338.223179693627
"혜화, 동",4631.553282367014
반드시 크게 들을 것 2 : Wild Days,2998.0202614127197
하나안,2986.6096036579565
"힘내세요, 병헌씨",2473.470222006798
미스터 컴퍼니,2981.275459623005
만찬,3816.923242473195
레디액션! 폭력영화,2520.3834288996704
악사들,2856.8451366426025
그라운드의 이방인,4282.418269089035
울보 권투부,2981.275459623005
우리 만난 적 있나요,305.7427898467736
용서,23923.522912594563
카페 느와르,16010.622856207903
우리 이웃의 범죄,3517.5244333620035
"양 한 마리, 양 두 마리",1878.4253943900574
하얀 정글,4876.011765893176
지슬 - 끝나지 않은 세월 2,3763.5380523747053
다슬이,2082.8893238786777
오하이오 삿포로,1774.029153577485
욕망의 독: 중독,1305.1729227614896
REC 알이씨,151.4357178957881
량강도 아이들,651.6282353585485
은어,200.97198768944
고래를 찾는 자전거,417.9000980061884
겨울냄새,424.89757604151634
굿바이 보이,724.5870143134034
돌아오는 길,582.7259312065704
엄마는 창녀다,138.50261052065633
잔혹한 앵글의 로망스,462.204947188598
롤플레이,1014.562154799581
허풍,552.2031256916623
젊은 엄마,509.39060502462934
고양이 소녀,496.65337640210237
롤플레이 2 : 동침,470.8077015058892
미녀전쟁,614.8823214461542
녀녀녀,968.1482481484519
픽업 아티스트,943.6051527651388
신화 라이브 3D 더 레전드 컨티뉴스,1276.5256129542704
살인캠프,534.5541242107404
덫: 치명적인 유혹,644.066121078506
마티나,539.9018717746553
홀리,817.1916337022005
남영동1985,107837.03758694344
돈 크라이 마미,40403.80710328279
범죄소년,5108.055383890805
터치,2383.5943427753314
한 번도 안 해본 여자,2386.046914580692
설계,2064.7643917755
울언니,2212.8904593729117
천국의 아이들,466.6492436173447
고백,199.05563872876112
할머니는 일학년,18991.97291117275
노브레싱,49637.06019215323
산타바바라,23127.6176409652
두레소리,260.20023361524835
말하는 건축가,2089.5841397522836
누구의 딸도 아닌 해원,17603.58246176639
누구나 제 명에 죽고 싶다,6037.319869559569
우아한 거짓말,78364.18957062699
도희야,26370.65570122777
꼭두각시,30029.837340255635
스퀴시랜드,27971.8677599488
레디액션 청춘,493659.88636828744
션샤인 러브,36017.79221706193
콩가네,263.2569480961561
말하는 건축 시티:홀,4797.5395927463405
댄서김의 은밀한 교수법,149.8687138846527
화려한 외출,142.65107127545917
배꼽,795.1175605953343
나가요 미스콜,1770.8539811713008
위층여자,1330.3143049415037
우리별 일호와 얼룩소,2449.5538116602033
고양이 장례식,2542.533042444975
"나의 아들, 나의 어머니",1976.0127266677373
살인자,168.94870364622844
황제를 위하여,5399.958200108688
바리새인,154.0535029643657
레쓰링,1889.651419050576
더 테너 리리코 스핀토,12454.087385557666
옹녀뎐,162.1323279238192
내 연애의 기억,18010.592155367172
해에게서 소년에게,14325.946648972145
나는 야한 여자가 좋다,592.9627529629731
정사: 위험한 성적유희,597.9920017770862
환상,615.1802642834643
나는 야한 여자가 좋다 3,592.9627529629731
조선안방 스캔들-칠거지악 2,636.37855315712
숙희,1220.2310332124102
가자! 장미여관으로 3 - 방황,1590.7327998452672
살인의뢰,173019.8991191755
조류인간,425.1647961980418
최강전사 미니특공대 : 새로운 악당의 습격,25643.205325095132
슈퍼레이서 엔지,24581.949981134414
생각보다 맑은,197.28360452752784
설해,38565.104606250985
나의 절친 악당들,830927.3668153009
성난 화가,1968.8771612985795
연애의 맛,3933.181328989263
플랑크 상수,572.1195078023845
어떤이의 꿈,609.4823303370556
파울볼,26400.588978525568
춘희막이,30532.63827346347
미쓰 와이프,687564.1350346102
사랑이 이긴다,68375.92211392937
쓰리 썸머 나잇,477915.61050087726
마돈나,188062.4124127692
제 7기사단,612.8757811457222
위로공단,9702.421618206065
악인은 살아 있다,7050.551881416767
슬픈남자,235.7922115323164
타이밍,6486.024392420376
타투,921.3469857491791
어떤살인,1963.9559996469818
